Country Name,Country Code,year,EG.CFT.ACCS.RU.ZS,EG.CFT.ACCS.ZS,EG.CFT.ACCS.UR.ZS,EG.ELC.ACCS.ZS,EG.ELC.ACCS.RU.ZS,EG.ELC.ACCS.UR.ZS,FX.OWN.TOTL.ZS,FX.OWN.TOTL.FE.ZS,FX.OWN.TOTL.MA.ZS,FX.OWN.TOTL.OL.ZS,FX.OWN.TOTL.40.ZS,FX.OWN.TOTL.PL.ZS,FX.OWN.TOTL.60.ZS,FX.OWN.TOTL.SO.ZS,FX.OWN.TOTL.YG.ZS,per_si_allsi.adq_pop_tot,per_allsp.adq_pop_tot,per_sa_allsa.adq_pop_tot,per_lm_alllm.adq_pop_tot,SE.PRM.TENR,SE.PRM.TENR.FE,SE.PRM.TENR.MA,NY.ADJ.NNTY.KD.ZG,NY.ADJ.SVNG.CD,NY.ADJ.AEDU.CD,SM.POP.ASYS.EO,SM.POP.ASYS.EA,SP.POP.DPND,SH.HIV.INCD,SH.HIV.INCD.TL,SP.POP.DPND.OL,SP.POP.DPND.YG,AG.LND.AGRI.ZS,AG.LND.AGRI.K2,AG.LND.IRIG.AG.ZS,SL.TLF.0714.WK.FE.TM,SL.TLF.0714.WK.MA.TM,SL.TLF.0714.WK.TM,SL.TLF.0714.SW.MA.TM,SL.TLF.0714.SW.FE.TM,SL.TLF.0714.SW.TM,SP.REG.BRTH.ZS,NY.GDP.COAL.RT.ZS,SP.DYN.CDRT.IN,EN.CLC.DRSK.XQ,SL.EMP.MPYR.MA.ZS,SL.EMP.MPYR.FE.ZS,SL.EMP.MPYR.ZS
Afghanistan,AFG,2018,14.5,31.4,82.6,93.4,91.6,98.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,482833320.042869,310107,281,89.8496059758101,1000,1100,4.49396889834487,85.3556370774652,58.2769881790166,380100,5.1223362273086,NA,NA,NA,NA,NA,NA,NA,0.541363923742697,7.271,NA,2.43502006355234,1.67489547635969,2.27635179617964
Afghanistan,AFG,2019,15.6,32.6,83.2,97.7,97.1,99.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,498263992.940825,251047,247,88.5120276122222,1000,1200,4.47933729391896,84.0326903183033,58.2769881790166,380100,6.00631412786109,NA,NA,NA,NA,NA,NA,NA,0.334119584032567,7.064,NA,2.10966111075194,1.05997729500053,1.9009848903797
Afghanistan,AFG,2020,16.4,33.8,83.8,97.7,97.1,99.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,527512991.719678,238791,167,87.2478169146763,1000,1100,4.43914504829198,82.8086718663843,58.7415482268525,383130,6.50692976274372,NA,NA,NA,NA,NA,NA,NA,0.00700147458719358,7.565,NA,1.85278633677128,0.732126094177491,1.6432602739863
Afghanistan,AFG,2021,17.4,34.9,84.5,97.7,97.1,99.5,9.65,4.7,14.79,10.81,5.86,5.18,12.18,23.4,7.55,NA,NA,NA,NA,NA,NA,NA,-19.5057334581634,NA,386856048.870212,262860,251,86.0834681804276,1100,1200,4.37770795171109,81.7057602287166,58.7415482268525,383130,6.50692976274372,NA,NA,NA,NA,NA,NA,NA,0.0193977562950517,8.002,NA,1.69521392194452,0.693545005548214,1.52556085558896
Afghanistan,AFG,2022,18.5,36.1,85,85.3,81.7,95.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294493,218,84.9624893289139,1100,1300,4.35612777763319,80.6063615512807,58.7415482268525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.993,NA,1.51258763042956,0.522516201694947,1.45463589117742
Afghanistan,AFG,2023,NA,NA,NA,85.3,81.4,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296033,250,83.8361728436287,NA,NA,4.37077621707188,79.4653966265569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.797,NA,1.47495870937318,0.589395370542796,1.4232002677188
Afghanistan,AFG,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.7768483158234,NA,NA,4.388419486435,78.3884288293884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,ARG,2018,96.9,99.8,99.9,100,99.9,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.0031979195012,38.7727308032567,9.85415555635774,12.9455399099423,NA,NA,NA,-5.60684741825986,10577131995.145,24944169422.8991,489,6102,55.8529254060554,NA,NA,17.8664360458422,37.9864893602132,42.3614771494031,1159577.597,1.19957474480252,NA,NA,NA,NA,NA,NA,NA,3.48869953405893e-4,7.583,NA,4.83752954755793,2.60165224702742,3.91126879320381
Argentina,ARG,2019,97.1,99.9,99.9,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.7191192110151,39.0441857471728,11.3164002084426,11.3260519943921,NA,NA,NA,-5.09453160471651,14897309309.4755,20778236310.9186,932,7981,55.5931801951266,NA,NA,18.0994378665041,37.4937423286225,42.6057296222809,1165577.597,NA,NA,NA,NA,NA,NA,NA,NA,5.23970165766831e-4,7.676,NA,4.80455287880549,2.38565380674943,3.7921740189121
Argentina,ARG,2020,97.3,99.9,99.9,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.7762165406002,39.3013378655558,17.3288836903957,20.3597546745681,NA,NA,NA,-7.83638320582234,29256476459.5336,18923282005.2854,1189,9176,55.0207968902513,NA,NA,18.2822768577117,36.7385200325396,43.0005774859411,1177577.597,NA,NA,NA,NA,NA,NA,NA,99.7,9.62586968364024e-5,8.45,NA,3.7856441054782,1.74689491466564,2.93303138044637
