date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01 00:00:00,14.6,12.8,26,0,,,20.2,,1022.8,
2024-01-02 00:00:00,15.6,12,19.6,0,,,9.9,,1020.2,
2024-01-03 00:00:00,15.3,10.9,21.2,0,,,12.2,,1020.5,
2024-01-04 00:00:00,13.4,10.2,21.2,0,,,16.8,,1022.5,
2024-01-05 00:00:00,15.4,10.3,20.7,0,,,6.6,,1021.2,
2024-01-06 00:00:00,17,10.9,21,0,,,7.2,,1021.2,
2024-01-07 00:00:00,15.6,12.1,21,0,,,16.8,,1023.5,
2024-01-08 00:00:00,15.6,12.7,19,0,,,12.1,,1021.6,
2024-01-09 00:00:00,16.6,13.6,21,0,,,5.4,,1018.2,
2024-01-10 00:00:00,16.5,13,22,0,,,11.8,,1019.7,
2024-01-11 00:00:00,13.1,10.3,21.9,0,,,14.2,,1021.8,
2024-01-12 00:00:00,14.5,10.8,20,0,,,6.9,,1020.3,
2024-01-13 00:00:00,15.9,11,22,0,,,7.8,,1021.4,
2024-01-14 00:00:00,16.7,12,23,0,,,7.8,,1022.3,
2024-01-15 00:00:00,16.1,11.9,23,0,,,12.9,,1023.1,
2024-01-16 00:00:00,15.3,11.5,21.6,0,,,16,,1025,
2024-01-17 00:00:00,16.8,13,22,0,,,6.2,,1022,
2024-01-18 00:00:00,18.4,13.9,26,0,,,6.3,,1018.8,
2024-01-19 00:00:00,17.8,14.8,25.3,1.3,,,6.4,,1017.8,
2024-01-20 00:00:00,17.9,15.8,21,2.1,,,7.8,,1017.2,
2024-01-21 00:00:00,14.2,11.4,20.9,0,,,17.6,,1022.1,
2024-01-22 00:00:00,9.2,5.6,16.1,2.3,,,21.6,,1025.7,
2024-01-23 00:00:00,6.6,3,11.5,0,,,17.8,,1029.8,
2024-01-24 00:00:00,7.2,3,11,0,,,12.6,,1030.6,
2024-01-25 00:00:00,9.9,4.3,13.6,0,,,10.5,,1029.6,
2024-01-26 00:00:00,11.7,7.3,15.1,0,,,11.4,,1028.8,
2024-01-27 00:00:00,12.2,8.3,15.1,0,,,10.8,,1027.2,
2024-01-28 00:00:00,11.2,8.5,15,1.1,,,14.6,,1028.2,
2024-01-29 00:00:00,11.7,7.9,15,1.4,,,7.5,,1025.7,
2024-01-30 00:00:00,15,12.2,18,4.6,,,6.9,,1022.5,
2024-01-31 00:00:00,17.5,14.5,21,0,,,4.5,,1020.7,
2024-02-01 00:00:00,20.3,16.4,26,0,,,5.4,,1018.7,
2024-02-02 00:00:00,16,14.1,25.4,0,,,12,,1020,
2024-02-03 00:00:00,17.3,14.1,23,0.9,,,9.3,,1020.6,
2024-02-04 00:00:00,15.4,13.5,22.6,17.8,,,7.5,,1019,
2024-02-05 00:00:00,15.9,12.8,18,0,,,11,,1020.5,
2024-02-06 00:00:00,14.3,11.8,17,0,,,14.7,,1022.2,
2024-02-07 00:00:00,10.5,8.3,17,21.1,,,13.1,,1020,
2024-02-08 00:00:00,10.3,7.9,13,4,,,12,,1020,
2024-02-09 00:00:00,10.5,7.8,14,0.8,,,10.4,,1024.3,
2024-02-10 00:00:00,11.9,7.8,17,0,,,9.5,,1027,
2024-02-11 00:00:00,13.4,7,20,0,,,10.2,,1028.3,
2024-02-12 00:00:00,15,8.8,20.1,0,,,9.1,,1027.6,
2024-02-13 00:00:00,16.1,10.9,23,0,,,6.6,,1024.3,
2024-02-14 00:00:00,18.3,13,25,0,,,5.7,,1020.5,
2024-02-15 00:00:00,19.6,14,28,0,,,7.6,,1018.5,
2024-02-16 00:00:00,13.9,11.8,26.8,0,,,14.8,,1022.2,
2024-02-17 00:00:00,16.7,11.8,22.3,0,,,7,,1019.1,
2024-02-18 00:00:00,19.7,12.9,22.3,0,,,5.1,,1016.5,
2024-02-19 00:00:00,21.4,15.9,26.3,0,,,5.4,,1015.6,
2024-02-20 00:00:00,22.9,19,29,0,,,8.8,,1015.4,
2024-02-21 00:00:00,24.4,21,29,3,,,10.6,,1015.2,
2024-02-22 00:00:00,15.8,12.3,28.2,0,,,12.3,,1018.4,
2024-02-23 00:00:00,13.9,11,21.2,0,,,14.7,,1023,
2024-02-24 00:00:00,14.2,11,19,0,,,13.1,,1023.1,
2024-02-25 00:00:00,12.7,10,18.2,0,,,11.6,,1022.7,
2024-02-26 00:00:00,11.9,9.8,15,0,,,15.5,,1023.8,
2024-02-27 00:00:00,12.8,10,16,0.1,,,13.6,,1023.4,
2024-02-28 00:00:00,14.5,11.5,18,0,,,8.7,,1020.5,
2024-02-29 00:00:00,15.8,12.3,21,0.5,,,7.8,,1018.5,
