movieId,title,genres,year
195495,Familia,Drama,2005
3078,Liberty Heights,Drama,1999
134704,Comedy Central Roast of Charlie Sheen,Comedy,2011
219976,47 Hours to Live,Horror,2019
219976,47 Hours to Live,Thriller,2019
169206,Through the Air,Drama,2015
211986,A Raunchy Christmas Story,Comedy,2018
171387,Çalgı Çengi,Comedy,2011
31930,Masculin Féminin,Drama,1966
198189,Viper Club,Drama,2018
198189,Viper Club,Thriller,2018
183321,The Song of Lunch,Drama,2010
73449,"V.I.P.s, The",Drama,1963
80214,"Swan and the Wanderer, The (Kulkuri ja joutsen)",Drama,1999
128265,The Stranger Wore a Gun,Action,1953
128265,The Stranger Wore a Gun,Western,1953
27087,The Sinners of Hell,Drama,1960
27087,The Sinners of Hell,Horror,1960
192043,Red Cow,Drama,2018
8699,Dancing in September,Drama,2000
69964,"Giant of Marathon, The (Battaglia di Maratona, La)",Action,1959
69964,"Giant of Marathon, The (Battaglia di Maratona, La)",Drama,1959
69964,"Giant of Marathon, The (Battaglia di Maratona, La)",War,1959
6326,City of Ghosts,Crime,2002
6326,City of Ghosts,Drama,2002
6326,City of Ghosts,Thriller,2002
279808,The Grab,Documentary,2022
133547,El bosque de Karadima,Drama,2015
132309,Without a Trace,Drama,1983
132309,Without a Trace,Mystery,1983
41,Richard III,Drama,1995
41,Richard III,War,1995
75395,Frozen,Drama,2010
75395,Frozen,Horror,2010
75395,Frozen,Thriller,2010
236141,American Skin,Drama,2021
196889,Glass,Drama,2019
196889,Glass,Horror,2019
196889,Glass,Mystery,2019
196889,Glass,Sci-Fi,2019
196889,Glass,Thriller,2019
255581,Rent,Drama,2019
164183,Terminal Invasion,Horror,2002
164183,Terminal Invasion,Sci-Fi,2002
164183,Terminal Invasion,Thriller,2002
6244,Salaam Bombay!,Drama,1988
112332,Caprice,Comedy,1967
112332,Caprice,Crime,1967
112332,Caprice,Thriller,1967
157387,Paradox,Action,2016
157387,Paradox,Sci-Fi,2016
31923,"Three Musketeers, The",Action,1973
31923,"Three Musketeers, The",Adventure,1973
31923,"Three Musketeers, The",Comedy,1973
284601,Uman – The Perfect Man,Comedy,2022
27746,Ginger Snaps: Unleashed,Horror,2004
27746,Ginger Snaps: Unleashed,Thriller,2004
126044,Brutal Relax,Action,2010
126044,Brutal Relax,Comedy,2010
108313,Dirty Pictures,Drama,2000
74857,Strategic Air Command,Action,1955
74857,Strategic Air Command,Drama,1955
